date,close
2/1/18,51.58
2/2/18,51.45
2/5/18,51.51
2/6/18,51.46
2/7/18,51.12
2/8/18,51.31
2/9/18,51.48
2/12/18,51.77
2/13/18,51.98
2/14/18,52.12
2/15/18,52
2/19/18,52.34
2/20/18,52.24
2/21/18,52.1
2/22/18,52.1
2/23/18,51.89
2/26/18,51.86
2/27/18,52.03
2/28/18,52.1
4/2/18,52.035
4/3/18,52.08
4/4/18,52.12
4/5/18,52.115
4/6/18,52.02
4/10/18,52
4/11/18,51.945
4/12/18,52.03
4/13/18,51.95
4/16/18,52.07
4/17/18,52.05
4/18/18,52.07
4/19/18,52.1
4/20/18,52.095
4/23/18,52.24
4/24/18,52.32
4/25/18,52.31
4/26/18,52.15
4/27/18,51.965
4/30/18,51.74
5/2/18,51.86
5/3/18,51.67
5/4/18,51.675
5/5/18,51.87
5/6/18,51.85
5/9/18,52.015
5/10/18,51.8
5/11/18,52.19
5/15/18,52.29
5/16/18,52.285
5/17/18,52.27
5/18/18,52.33
5/21/18,52.465
5/22/18,52.195
5/23/18,52.47
5/24/18,52.55
5/25/18,52.7
5/28/18,52.49
5/29/18,52.64
5/30/18,52.6
5/31/18,52.52
6/1/18,52.55
6/4/18,52.58
6/5/18,52.4
6/6/18,52.385
6/7/18,52.49
6/8/18,52.7
6/11/18,52.95
6/13/18,53.23
6/14/18,53.27
6/18/18,53.48
6/19/18,53.44
6/20/18,53.48
6/21/18,53.46
6/22/18,53.28
6/25/18,53.44
6/26/18,53.47
6/27/18,53.475
6/28/18,53.515
6/29/18,53.34
7/2/18,53.43
7/3/18,53.375
7/4/18,53.36
7/5/18,53.42
7/6/18,53.42
7/9/18,53.4
7/10/18,53.46
7/11/18,53.5
7/12/18,53.5
7/13/18,53.51
7/16/18,53.53
7/17/18,53.39
7/18/18,53.49
7/19/18,53.53
7/20/18,53.51
7/23/18,53.48
7/24/18,53.42
7/25/18,53.37
7/26/18,53.435
7/27/18,53.285
7/30/18,53.22
7/31/18,53.095
8/1/18,53.08
8/2/18,53.09
8/3/18,53.15
8/6/18,52.85
8/7/18,53
8/8/18,53.07
8/9/18,53.09
8/10/18,53.135
